name,F,M,all,ratio,gender
Jonas,28.0,19149.0,19177,6.52780126375,M
Dollie,19106.0,61.0,19167,-5.74688383666,F
Katy,19148.0,5.0,19153,-8.25051563808,F
Letha,19079.0,25.0,19104,-6.63746770786,F
Hudson,402.0,18677.0,19079,3.83859601069,M
Vaughn,830.0,18243.0,19073,3.090111023,M
Darian,6008.0,13019.0,19027,0.773317914453,M
Julissa,18990.0,11.0,19001,-7.45377253101,F
Dona,18794.0,174.0,18968,-4.68223764973,F
Emilee,18943.0,8.0,18951,-7.76974820745,F
Talia,18914.0,5.0,18919,-8.23821975514,F
Keira,18820.0,7.0,18827,-7.89676526408,F
Sybil,18820.0,5.0,18825,-8.23323750071,F
Rodrigo,5.0,18796.0,18801,8.23196144779,M
Pearlie,18097.0,695.0,18792,-3.2595896121,F
Cayden,1157.0,17602.0,18759,2.72218208374,M
Tanisha,18713.0,21.0,18734,-6.79245131075,F
Sage,11680.0,7041.0,18721,-0.506127771863,F
Adolph,20.0,18680.0,18700,6.83947643823,M
Hollie,17216.0,1452.0,18668,-2.47289726758,F
Silvia,18596.0,51.0,18647,-5.89887615009,F
Odell,4146.0,14496.0,18642,1.25172873529,M
Claudette,18625.0,11.0,18636,-7.43436477045,F
Reynaldo,23.0,18549.0,18572,6.6926769423,M
Leilani,18533.0,19.0,18552,-6.88286922663,F
Scotty,219.0,18242.0,18461,4.42241017692,M
Mavis,18229.0,135.0,18364,-4.90549423309,F
Latisha,18276.0,38.0,18314,-6.17575784296,F
Zion,3414.0,14868.0,18282,1.47132662806,M
Jude,1306.0,16880.0,18186,2.55916045831,M
Heaven,17980.0,206.0,18186,-4.46913913924,F
Cruz,3850.0,14332.0,18182,1.31442165114,M
Arielle,18122.0,40.0,18162,-6.11600249467,F
Brendon,22.0,18066.0,18088,6.71074454435,M
Sawyer,1998.0,16078.0,18076,2.08530519768,M
Noe,226.0,17802.0,18028,4.36653109025,M
Melisa,17988.0,10.0,17998,-7.4948750549,F
Conor,69.0,17892.0,17961,5.55800245996,M
Anderson,404.0,17546.0,17950,3.77116640473,M
Precious,17760.0,119.0,17879,-5.00558052343,F
Amaya,17868.0,7.0,17875,-7.84485653342,F
Katlyn,17856.0,5.0,17861,-8.18065695275,F
Maura,17856.0,5.0,17861,-8.18065695275,F
Alexus,17608.0,227.0,17835,-4.35115860572,F
Roxie,17626.0,203.0,17829,-4.46392438462,F
Avis,17071.0,756.0,17827,-3.1170950202,F
Saundra,17811.0,11.0,17822,-7.38967625014,F
Santos,2757.0,15052.0,17809,1.69736774069,M
Scarlett,17792.0,7.0,17799,-7.84059404799,F
Asher,350.0,17440.0,17790,3.90858854298,M
